# ARES Matrix v2.0 | QUICK WINS Applied | Phase-Boosts kalibriert | bw_ Modifier ergänzt | Duplikate entfernt
name,category,impact_score,necessity_tier,evidence_level,protocol_phase,phase_0,phase_1,phase_2,phase_3,ctx_true_natural,ctx_enhanced_no_trt,ctx_on_trt,ctx_on_glp1,goal_fat_loss,goal_muscle_gain,goal_recomposition,goal_maintenance,goal_longevity,goal_performance,goal_cognitive,goal_sleep,goal_gut_health,cal_in_deficit,cal_in_surplus,demo_age_over_40,demo_age_over_50,demo_age_over_60,demo_is_male,demo_is_female,pep_gh_secretagogue,pep_healing,pep_longevity,pep_nootropic,pep_metabolic,pep_immune,pep_testo,pep_skin,bw_cortisol_high,bw_testosterone_low,bw_vitamin_d_low,bw_magnesium_low,bw_triglycerides_high,bw_inflammation_high,bw_glucose_high,bw_insulin_resistant,bw_hdl_low,bw_ldl_high,bw_apob_high,bw_ferritin_high,bw_homocysteine_high,bw_nad_low,bw_b12_low,bw_iron_low,bw_thyroid_slow,syn_retatrutide,syn_tirzepatide,syn_semaglutide,syn_epitalon,syn_mots_c,syn_bpc_157,syn_tb_500,syn_cjc_1295,syn_ipamorelin
Spermidin,Longevity,8.5,specialist,moderate,0,0.5,0.5,0.5,3.0,,,,,,,,,3.0,,,,,,,2.0,2.5,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
EAA,Performance,8.5,essential,strong,0,0.5,1.5,1.0,0.5,1.5,3.0,0.0,,1.5,1.5,2.0,,,2.0,,,,3.0,2.0,,,,,,1.5,,,,2.5,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,
L-Citrullin,Performance,8.5,optimizer,strong,0,0.5,1.0,0.5,0.0,1.0,,1.0,,,1.5,0.8,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Bergamot,TRT-Support,8.5,essential,strong,1,0.5,2.5,1.0,0.5,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.5,3.0,3.5,,,,,,,,,,,,,,,
Berberin,Energie,8.5,optimizer,strong,0,0.5,2.0,1.0,0.5,,,,-2.0,2.0,,1.0,,1.5,,,,,1.5,,,,,,,,,,,,,,,,,,,,,3.5,4.0,,1.5,,,,,,,,-3.0,-2.5,,,,,,,
Lions Mane,Kognition,8.5,optimizer,moderate,0,1.0,1.0,2.0,0.5,,,,,,,,,1.0,,3.0,,,,,1.5,2.0,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silymarin,Leber,8.0,optimizer,strong,0,0.5,0.5,0.5,0.5,,,2.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUDCA,TRT-Support,8.0,essential,strong,1,0.5,2.0,0.5,1.0,,,2.0,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta-Alanin,Performance,8.0,optimizer,strong,0,0.0,1.0,1.0,0.5,1.0,,0.5,,,1.5,0.8,,,2.0,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resveratrol,Longevity,8.0,specialist,moderate,0,0.5,0.5,0.5,2.5,,,,,,,,,2.5,,,,,,,1.5,2.0,,,,,,3.0,,,,,,,,,,,1.5,,,,,,,,,,,,,,,2.0,,,,,
NAC,Antioxidantien,8.0,essential,strong,0,2.0,1.0,1.0,1.0,,,1.0,,,,,,1.5,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,1.5,,,,,,,,,,,,,
Vitamin C (liposomal),Peptid-Synergie,8.0,essential,strong,2,1.0,0.5,0.0,0.0,0.5,,,,,,,1.0,0.5,,,,,,,,,,,,,2.0,,,,3.0,,2.0,,,,,,1.5,,,,,,,,,,1.0,,,,,,,,,,
Ashwagandha KSM-66,Stress,7.8,optimizer,strong,0,1.0,1.0,0.5,0.0,2.5,1.0,-2.0,,,1.0,0.5,,,,1.0,1.5,,,,,,,,,,,,,,,1.5,,3.5,2.5,,,,,,,,,,,,,,,-1.0,,,,,,,,,
Taurin (kardioprotektiv),TRT-Support,7.8,optimizer,strong,1,1.0,1.0,0.5,0.5,0.5,,1.0,1.5,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
L-Arginin,Performance,7.5,optimizer,strong,0,0.5,0.5,0.0,0.0,1.5,,-1.0,,,0.5,0.2,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,-3.0
DIM,TRT-Support,7.5,optimizer,moderate,1,0.5,0.5,0.5,0.5,,,2.5,,0.5,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Theanin,Schlaf,7.5,optimizer,strong,0,1.0,1.0,0.5,0.0,,,,,,,,,,,2.0,1.5,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Zink Bisglycinat,Testosteron,7.5,optimizer,strong,0,2.0,1.0,0.5,0.0,2.0,1.0,0.5,,,1.0,0.5,1.5,,,,,,,1.0,,,,1.0,,2.0,3.0,,,,3.0,2.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,2.0,,
HMB,Muskelerhalt,7.5,optimizer,strong,1,0.5,3.5,1.0,0.0,3.0,5.0,-4.0,,3.0,1.0,2.5,,,,,,,3.0,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,
Kollagen Peptide,Peptid-Synergie,7.5,optimizer,moderate,2,0.5,0.5,0.5,1.0,,,,,,,,,0.5,,,,,,,1.5,,,,1.0,2.0,2.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.5,1.5,1.5
Alpha Liponsäure,Antioxidantien,7.5,optimizer,strong,0,0.5,1.0,0.5,0.5,,,,,0.5,,0.3,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,
Pterostilben,Longevity,7.5,specialist,moderate,0,0.5,0.5,0.5,2.0,,,,,,,,,2.0,,1.0,,,,,1.5,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotika Multi-Strain,Darm,7.3,optimizer,strong,0,1.0,0.5,0.5,0.5,,,,2.0,,,,,0.5,,,,3.0,,,,,,,,,,,,1.5,,,,,,,,,1.0,,,,,,,,,,,,1.5,,,,,,,,
CoQ10 Ubiquinol,Energie,7.2,optimizer,strong,0,1.0,1.0,2.0,0.5,,,1.0,,,,,,2.0,,1.0,,,,,2.0,3.0,4.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Citrullin Malat,Muskelerhalt,7.2,optimizer,strong,1,0.5,1.0,0.5,0.0,1.0,,1.0,,,1.5,0.8,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycin,Schlaf,7.2,optimizer,strong,0,2.0,1.0,0.5,0.0,1.0,1.5,1.0,2.0,,1.0,0.5,1.5,,1.0,1.0,2.0,,1.5,1.0,1.5,,,1.0,1.5,2.0,,,,2.5,,2.5,,1.5,,,4.0,,,1.0,,,,,,,,,,,2.0,1.5,,,,,,,
A-Z Komplex,multivitamin,7.0,essential,strong,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bor,Testosteron,7.0,optimizer,strong,0,0.5,0.5,0.5,0.5,2.0,,-1.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,2.5,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
GABA,Schlaf,7.0,optimizer,moderate,0,0.5,0.5,0.0,0.0,,,,,,,,,,,,1.5,,,,,,,,,2.0,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
OPC,Antioxidantien,7.0,optimizer,moderate,0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.5,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
Curcumin Longvida,Entzündung,7.0,optimizer,strong,0,1.0,1.0,1.0,1.0,,,1.5,,,,,,2.0,,1.0,,,,,1.5,2.0,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,2.0,,
Apigenin,Schlaf,7.0,optimizer,moderate,0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodiola Rosea,Stress,7.0,optimizer,strong,0,0.5,1.0,0.5,0.0,,,,,0.5,,0.2,,,2.0,1.5,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bacopa Monnieri,Stress,6.8,specialist,moderate,0,0.5,0.5,0.5,0.5,,,,,,,,,,,2.5,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-Liponsäure,Energie,6.8,specialist,moderate,0,0.5,1.0,0.5,0.5,,,,,0.5,,0.3,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,
Metformin,Longevity,6.5,specialist,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQQ,Energie,6.5,specialist,moderate,0,0.5,0.5,1.5,0.5,,,,,,,,,1.5,,1.5,,,,,1.5,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongkat Ali,Testosteron,6.5,specialist,moderate,0,1.0,1.0,0.5,0.0,3.5,0.5,-4.0,,,1.5,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,1.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Quercetin,NAD+,6.5,specialist,moderate,2,0.5,1.0,0.5,2.5,,,,,,,,,1.5,,,,,,,,,,,,,,3.0,,,2.5,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,
Lecithin,Kognition,6.5,optimizer,moderate,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Glutamin,Darm,6.5,specialist,moderate,0,0.5,1.0,0.5,0.0,,2.0,,2.5,,0.5,0.2,,,,,,3.0,,2.0,,,,,,2.0,3.0,,,,,,,,,,,,1.5,,,,,,,,,,,,2.5,2.0,,,,2.0,2.0,,
Shilajit,Testosteron,6.2,specialist,moderate,0,0.5,0.5,0.5,0.5,1.5,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Trans-Resveratrol,NAD+,6.0,specialist,moderate,2,0.5,0.5,0.5,2.5,,,,,,,,,2.5,,,,,,,1.5,2.0,,,,,,3.0,,,,,,,,,,,1.5,,,,,,,,,,,,,,,2.0,,,,,
Fadogia Agrestis,Testosteron,6.0,specialist,moderate,0,0.5,0.5,0.0,0.0,2.0,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Fisetin,NAD+,6.0,specialist,moderate,2,0.5,0.5,0.5,3.0,,,,,,,,,3.0,,,,,,,2.0,2.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Workout Komplex,Performance,5.0,optimizer,moderate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin B12,Vitamine,5.0,optimizer,moderate,0,2.0,0.5,0.0,0.0,0.5,,,2.0,0.5,,0.2,1.0,,,1.0,,,,,1.5,2.5,3.2,,1.5,,,,,2.5,,,,,,,,,,,,,,,,4.0,,4.0,,,2.0,1.5,1.5,,,,,,
Liposomales NAD+ & Trans-Resveratrol,Anti-Aging,5.0,optimizer,moderate,0,0.5,0.5,0.5,1.0,,,,,,,,,2.5,,,,,,,1.5,2.0,,,,,,3.0,,,,,,,,,,,1.5,,,,,,,,,,,,,,,2.0,,,,,
Calcium,Mineralien,5.0,optimizer,moderate,0,0.5,0.0,0.0,0.0,,,,,,,,,-0.5,,,,,,,,2.5,3.2,,1.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Koffein,Stimulanzien,5.0,optimizer,moderate,0,0.5,1.5,1.0,0.0,,,,,1.5,,0.8,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C,Vitamine,5.0,optimizer,moderate,0,1.0,0.5,0.0,0.0,0.5,,,,,,,1.0,0.5,,,,,,,,,,,,,2.0,,,,3.0,,2.0,,,,,,1.5,,,,,,,,,,1.0,,,,,,,,,,
Multivitamin,Vitamine,5.0,optimizer,moderate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eisen,Mineralien,5.0,optimizer,moderate,0,0.0,0.0,0.0,0.0,,,-2.0,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,-5.0,,,,5.0,,,,,,,,,,
Eisen + Vitamin C,Mineralien,5.0,optimizer,moderate,0,1.0,0.5,0.0,0.0,0.5,,,,,,,1.0,0.5,,,,,,,,,,,,,2.0,,,,3.0,,2.0,,,,,,1.5,,,,,,,,,,1.0,,,,,,,,,,
Turkesterone Max,Hormone,5.0,optimizer,moderate,0,0.5,0.5,0.5,0.0,1.0,,-2.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylenblau 1%,Nootropics,5.0,optimizer,moderate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium Komplex 11 Ultra,Mineralien,5.0,optimizer,moderate,0,2.0,1.0,0.5,0.0,1.0,1.5,1.0,2.0,,1.0,0.5,1.5,,1.0,1.0,2.0,,1.5,1.0,1.5,,,1.0,1.5,2.0,,,,2.5,,2.5,,1.5,,,4.0,,,1.0,,,,,,,,,,,2.0,1.5,,,,,,,
Spirulina,Superfoods,5.0,optimizer,moderate,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melatonin,Schlaf,5.0,optimizer,moderate,0,0.5,0.5,0.5,0.5,,,,,,,,,0.5,,,3.0,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotin,Vitamine,5.0,optimizer,moderate,0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-Ketoglutarat (AKG),Performance,5.0,optimizer,moderate,0,0.5,0.5,0.5,0.5,,,,,,0.5,0.3,,2.0,,,,,,,,2.0,2.5,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwarzkümmelöl 1000,Wellness,5.0,optimizer,moderate,0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.5,,,,,,,,1.5,1.0,,,,,,,,,,,,,,,,,,,
Probiona Kulturen Komplex,Darmgesundheit,5.0,optimizer,moderate,0,1.0,0.5,0.5,0.5,,,,2.0,,,,,0.5,,,,3.0,,,,,,,,,,,,1.5,,,,,,,,,1.0,,,,,,,,,,,,1.5,,,,,,,,
Hyaluron & Kollagen,Beauty,5.0,optimizer,moderate,0,0.5,0.5,0.5,1.0,,,,,,,,,0.5,,,,,,,1.5,,,,1.0,2.0,2.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.5,1.5,1.5
Zinc Complex,Mineralien,5.0,optimizer,moderate,0,1.5,1.0,0.5,0.0,2.0,1.0,0.5,,,1.0,0.5,1.5,,,,,,,1.0,,,,1.0,,2.0,3.0,,,,3.0,2.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,2.0,,
Chlorella,Superfoods,5.0,optimizer,moderate,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein Pulver,Muskelaufbau,5.0,optimizer,moderate,0,0.5,1.0,1.0,0.5,1.0,2.0,,,1.0,2.0,1.5,,,2.0,,,,2.0,1.5,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.5,2.0,,,,,,,
TMG (Trimethylglycine),Performance,5.0,optimizer,moderate,0,0.5,1.0,1.0,1.0,,,,,,,,,1.5,,,2.5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,
Vitamin B Komplex (hochdosiert),Vitamine,5.0,optimizer,moderate,0,1.5,1.0,0.5,0.0,1.0,,,2.5,1.0,,0.5,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,3.0,2.0,2.0,,,,,,
Methyl Folate,Vitamine,5.0,optimizer,moderate,0,1.0,0.5,0.0,0.0,,,,,,,,,0.5,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,
Grüntee Extrakt,Antioxidantien,5.0,optimizer,moderate,0,0.5,1.0,0.5,0.0,,,,,1.5,,0.8,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astaxanthin + Coenzym Q10,Antioxidantien,5.0,optimizer,moderate,0,1.0,1.0,0.5,0.5,,,1.0,,,,,,2.0,,1.0,,,,,2.0,3.0,4.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Pinienrinden Extrakt,Antioxidantien,5.0,optimizer,moderate,0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.5,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
BCAA,Aminosäuren,5.0,optimizer,moderate,0,0.0,0.5,0.5,0.0,0.5,,-1.0,,,0.5,0.2,,,2.0,,,,3.0,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
