# ARES Matrix v3.0 FINAL | 110 Compounds | OTC + Rx + Peptide | Full Scientific Validation
name,category,impact_score,necessity_tier,evidence_level,protocol_phase,phase_0,phase_1,phase_2,phase_3,ctx_true_natural,ctx_enhanced_no_trt,ctx_on_trt,ctx_on_glp1,goal_fat_loss,goal_muscle_gain,goal_recomposition,goal_maintenance,goal_longevity,goal_performance,goal_cognitive,goal_sleep,goal_gut_health,cal_in_deficit,cal_in_surplus,demo_age_over_40,demo_age_over_50,demo_age_over_60,demo_is_male,demo_is_female,pep_gh_secretagogue,pep_healing,pep_longevity,pep_nootropic,pep_metabolic,pep_immune,pep_testo,pep_skin,bw_cortisol_high,bw_testosterone_low,bw_vitamin_d_low,bw_magnesium_low,bw_triglycerides_high,bw_inflammation_high,bw_glucose_high,bw_insulin_resistant,bw_hdl_low,bw_ldl_high,bw_apob_high,bw_ferritin_high,bw_homocysteine_high,bw_nad_low,bw_b12_low,bw_iron_low,bw_thyroid_slow,syn_retatrutide,syn_tirzepatide,syn_semaglutide,syn_epitalon,syn_mots_c,syn_bpc_157,syn_tb_500,syn_cjc_1295,syn_ipamorelin,compound_class,rx_dosing_protocol,rx_monitoring_required,notes,peptide_route,peptide_half_life
L-Theanin,Schlaf,7.5,optimizer,strong,0.0,1.0,1.0,0.5,0.0,,,,,,,,,,,2.0,1.5,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Zink Bisglycinat,Testosteron,7.5,optimizer,strong,0.0,2.0,1.0,0.5,0.0,2.0,1.0,0.5,,,1.0,0.5,1.5,,,,,,,1.0,,,,1.0,,2.0,3.0,,,,3.0,2.5,,,2.5,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,otc,,,,,
HMB,Muskelerhalt,7.5,optimizer,strong,1.0,0.5,3.5,1.0,0.0,3.0,5.0,-4.0,4.0,3.5,3.5,2.5,,,,,,,4.0,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,3.5,3.0,3.0,,,,,,,otc,,,,,
Kollagen Peptide,Peptid-Synergie,7.5,optimizer,moderate,2.0,0.5,0.5,0.5,1.0,,,,,,,,,0.5,,,,,,,1.5,,,,1.0,2.0,2.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.5,1.5,1.5,otc,,,,,
Alpha Liponsäure,Antioxidantien,7.5,optimizer,strong,0.0,0.5,1.0,0.5,0.5,,,,,0.5,,0.3,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.0,,,,,,,,,,,,,,,,,,,otc,,,,,
Pterostilben,Longevity,7.5,specialist,moderate,0.0,0.5,0.5,0.5,2.0,,,,,,,,,2.0,,1.0,,,,,1.5,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Probiotika Multi-Strain,Darm,7.3,optimizer,strong,0.0,1.0,0.5,0.5,0.5,,,,2.0,,,,,0.5,,,,3.0,,,,,,,,,,,,1.5,,,,,,,,,1.0,,,,,,,,,,,,1.5,,,,,,,,,otc,,,,,
CoQ10 Ubiquinol,Energie,7.2,optimizer,strong,0.0,1.0,1.0,2.0,0.5,,,1.0,,,,,,2.0,,1.0,,,,,1.5,2.5,4.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Citrullin Malat,Muskelerhalt,7.2,optimizer,strong,1.0,0.5,1.0,0.5,0.0,1.0,,1.0,,,1.5,0.8,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Glycin,Schlaf,7.2,optimizer,strong,0.0,2.0,1.0,0.5,0.0,1.0,1.5,1.0,2.0,,1.0,0.5,1.5,,1.0,1.0,2.0,,1.5,1.0,1.5,,,1.0,1.5,1.5,,,,2.5,,2.5,,1.5,,,4.0,,,1.0,,,,,,,,,,,2.0,1.5,,,,,,,,otc,,,,,
A-Z Komplex,multivitamin,7.0,essential,strong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Bor,Testosteron,7.0,optimizer,strong,0.0,0.5,0.5,0.5,0.5,2.0,,-1.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,2.5,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
GABA,Schlaf,7.0,optimizer,moderate,0.0,0.5,0.5,0.0,0.0,,,,,,,,,,,,1.5,,,,,,,,,2.0,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
OPC,Antioxidantien,7.0,optimizer,moderate,0.0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.5,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Curcumin Longvida,Entzündung,7.0,optimizer,strong,0.0,1.0,1.0,1.0,1.0,,,1.5,,,,,,2.0,,1.0,,,,,1.5,2.0,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,2.0,,,otc,,,,,
Apigenin,Schlaf,7.0,optimizer,moderate,0.0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Rhodiola Rosea,Stress,7.0,optimizer,strong,0.0,0.5,1.0,0.5,0.0,,,,,0.5,,0.2,,,2.0,1.5,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Bacopa Monnieri,Stress,6.8,specialist,moderate,0.0,0.5,0.5,0.5,0.5,,,,,,,,,,,2.5,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Alpha-Liponsäure,Energie,6.8,specialist,moderate,0.0,0.5,1.0,0.5,0.5,,,,,2.0,,0.3,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.0,,,,,,,,,,,,,,,,,,,otc,,,,,
Metformin,Longevity,6.5,specialist,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rx,,,,,
PQQ,Energie,6.5,specialist,moderate,0.0,0.5,0.5,1.5,0.5,,,,,,,,,1.5,,1.5,,,,,1.5,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Tongkat Ali,Testosteron,6.5,specialist,moderate,0.0,1.0,1.0,0.5,0.0,1.5,0.5,-4.0,,,1.5,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,1.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Quercetin,NAD+,6.5,specialist,moderate,2.0,0.5,1.0,0.5,2.5,,,,,,,,,1.5,,,,,,,,,,,,,,3.0,,,2.5,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,otc,,,,,
Lecithin,Kognition,6.5,optimizer,moderate,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
L-Glutamin,Darm,6.5,specialist,moderate,0.0,0.5,1.0,0.5,0.0,,2.0,,2.5,,2.0,0.2,,,,,,3.0,,2.0,,,,,,2.0,3.0,,,,,,,,,,,,1.5,,,,,,,,,,,,2.5,2.0,,,,2.0,2.0,,,otc,,,,,
Shilajit,Testosteron,6.2,specialist,moderate,0.0,0.5,0.5,0.5,0.5,1.5,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Trans-Resveratrol,NAD+,6.0,specialist,moderate,2.0,0.5,0.5,0.5,2.5,,,,,,,,,2.5,,,,,,,1.5,2.0,,,,,,3.0,,,,,,,,,,,1.5,,,,,,,,,,,,,,,2.0,,,,,,otc,,,,,
Fadogia Agrestis,Testosteron,5.5,specialist,moderate,0.0,0.5,0.5,0.0,0.0,1.0,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Fisetin,NAD+,6.0,specialist,moderate,2.0,0.5,0.5,0.5,3.0,,,,,,,,,3.0,,,,,,,2.0,2.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,otc,,,,,
Pre-Workout Komplex,Performance,5.0,optimizer,moderate,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Vitamin B12,Vitamine,5.0,optimizer,moderate,0.0,2.0,0.5,0.0,0.0,0.5,,,2.0,0.5,,0.2,1.0,,,1.0,,,,,1.5,2.5,3.2,,1.5,,,,,2.5,,,,,,,,,,,,,,,,4.0,,4.0,,,2.0,1.5,1.5,,,,,,,otc,,,,,
Liposomales NAD+ & Trans-Resveratrol,Anti-Aging,5.0,optimizer,moderate,0.0,0.5,0.5,0.5,1.0,,,,,,,,,2.5,,,,,,,1.5,2.0,,,,,,3.0,,,,,,,,,,,1.5,,,,,,,,,,,,,,,2.0,,,,,,otc,,,,,
Calcium,Mineralien,5.0,optimizer,moderate,0.0,0.5,0.0,0.0,0.0,,,,,,,,,-0.5,,,,,,,,2.5,3.2,,1.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Koffein,Stimulanzien,5.0,optimizer,moderate,0.0,0.5,1.5,1.0,0.0,,,,,1.5,,0.8,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Vitamin C,Vitamine,5.0,optimizer,moderate,0.0,1.0,0.5,0.0,0.0,0.5,,,,,,,1.0,0.5,,,,,,,,,,,,,2.0,,,,3.0,,2.0,,,,,,1.5,,,,,,,,,,1.0,,,,,,,2.0,,,,otc,,,,,
Multivitamin,Vitamine,5.0,optimizer,moderate,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Eisen,Mineralien,5.0,optimizer,moderate,0.0,0.0,0.0,0.0,0.0,,,-2.0,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,-5.0,,,,5.0,,,,,,,,,,,otc,,,,,
Eisen + Vitamin C,Mineralien,5.0,optimizer,moderate,0.0,1.0,0.5,0.0,0.0,0.5,,,,,,,1.0,0.5,,,,,,,,,,,,,2.0,,,,3.0,,2.0,,,,,,1.5,,,,,,,,,,1.0,,,,,,,,,,,otc,,,,,
Turkesterone Max,Hormone,5.0,optimizer,moderate,0.0,0.5,0.5,0.5,0.0,1.0,,-2.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Methylenblau 1%,Nootropics,5.0,optimizer,moderate,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Magnesium Komplex 11 Ultra,Mineralien,5.0,optimizer,moderate,0.0,2.0,1.0,0.5,0.0,1.0,1.5,1.0,2.0,,1.0,0.5,1.5,,1.0,1.0,2.0,,1.5,1.0,1.5,,,1.0,1.5,2.0,,,,2.5,,2.5,,1.5,,,4.0,,,1.0,,,,,,,,,,,2.0,1.5,,,,,,,,otc,,,,,
Spirulina,Superfoods,5.0,optimizer,moderate,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Melatonin,Schlaf,5.0,optimizer,moderate,0.0,0.5,0.5,0.5,0.5,,,,,,,,,0.5,,,3.0,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,otc,,,,,
Biotin,Vitamine,5.0,optimizer,moderate,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Alpha-Ketoglutarat (AKG),Performance,5.0,optimizer,moderate,0.0,0.5,0.5,0.5,0.5,,,,,,0.5,0.3,,2.0,,,,,,,,2.0,2.5,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Schwarzkümmelöl 1000,Wellness,5.0,optimizer,moderate,0.0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.5,,,,,,,,1.5,1.0,,,,,,,,,,,,,,,,,,,,otc,,,,,
Probiona Kulturen Komplex,Darmgesundheit,5.0,optimizer,moderate,0.0,1.0,0.5,0.5,0.5,,,,2.0,,,,,0.5,,,,3.0,,,,,,,,,,,,1.5,,,,,,,,,1.0,,,,,,,,,,,,1.5,,,,,,,,,otc,,,,,
Hyaluron & Kollagen,Beauty,5.0,optimizer,moderate,0.0,0.5,0.5,0.5,1.0,,,,,,,,,0.5,,,,,,,1.5,,,,1.0,2.0,2.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.5,1.5,1.5,otc,,,,,
Zinc Complex,Mineralien,5.0,optimizer,moderate,0.0,1.5,1.0,0.5,0.0,2.0,1.0,0.5,,,1.0,0.5,1.5,,,,,,,1.0,,,,1.0,,2.0,3.0,,,,3.0,2.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,2.0,,,otc,,,,,
Chlorella,Superfoods,5.0,optimizer,moderate,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Protein Pulver,Muskelaufbau,5.0,optimizer,moderate,0.0,0.5,1.0,1.0,0.5,1.0,2.0,,3.0,1.0,3.5,1.5,,,2.0,,,,2.0,1.5,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.5,2.0,,,,,,,,otc,,,,,
TMG (Trimethylglycine),Performance,5.0,optimizer,moderate,0.0,0.5,1.0,1.0,1.0,,,,,,,,,1.5,,,2.5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,otc,,,,,
Vitamin B Komplex (hochdosiert),Vitamine,5.0,optimizer,moderate,0.0,1.5,1.0,0.5,0.0,1.0,,,2.5,1.0,,0.5,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,3.0,2.0,2.0,,,,,,,otc,,,,,
Methyl Folate,Vitamine,5.0,optimizer,moderate,0.0,1.0,0.5,0.0,0.0,,,,,,,,,0.5,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,otc,,,,,
Grüntee Extrakt,Antioxidantien,5.0,optimizer,moderate,0.0,0.5,1.0,0.5,0.0,,,,,2.0,,0.8,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Astaxanthin + Coenzym Q10,Antioxidantien,5.0,optimizer,moderate,0.0,1.0,1.0,0.5,0.5,,,1.0,,,,,,2.0,,1.0,,,,,2.0,3.0,4.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Pinienrinden Extrakt,Antioxidantien,5.0,optimizer,moderate,0.0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.5,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,otc,,,,,
BCAA,Aminosäuren,5.0,optimizer,moderate,0.0,0.0,0.5,0.5,0.0,0.5,,-1.0,,,0.5,0.2,,,2.0,,,,3.0,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Rapamycin (Sirolimus),Longevity Rx,9.0,specialist,strong,,,,,4.0,,,0.0,0.0,,,,,4.0,,,,,,,,3.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rx,weekly_cycling,"lipids,glucose,CBC",ITP: +9-14% lifespan mice. PEARL Trial: 5-10mg weekly safe. Combine with Acarbose for synergy.,,
Acarbose,Longevity Rx,7.5,specialist,strong,,,,,3.5,,,,,,,,,3.5,,,,,,,,2.5,3.5,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,rx,daily_with_meals,,ITP: +11-17% lifespan males. Alpha-glucosidase inhibitor. Rapa+Acarbose: +28-34% lifespan.,,
Testosterone (TRT),Hormone Rx,8.5,specialist,strong,,,3.5,3.0,,,,,,2.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,rx,weekly_injection,"testosterone,estradiol,hematocrit,PSA,lipids",Meta: No CV mortality increase. Watch arrhythmias (RR 1.53). 100-200mg/week typical.,,
Semaglutide (Wegovy/Ozempic),GLP-1 Rx,9.0,specialist,strong,,,4.0,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,rx,weekly_escalation,"weight,glucose,GI_symptoms",STEP trials: -15% body weight. 0.25→2.4mg over 16 weeks. SELECT: CV protection.,,
Tirzepatide (Mounjaro/Zepbound),GLP-1/GIP Rx,9.5,specialist,strong,,,4.0,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,rx,weekly_escalation,,SURMOUNT: -20-22% body weight (superior to Sema). Dual GIP/GLP-1. 2.5→15mg over 20 weeks.,,
BPC-157,Peptide Healing,8.0,specialist,animal_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,peptide,,,"VEGF↑, angiogenesis, GI healing. 250-500mcg 2x daily. FDA Cat 2, WADA banned.","subcutaneous,oral",4h
TB-500 (Thymosin β4),Peptide Healing,7.5,specialist,animal_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,peptide,,,"Actin regulation, wound healing +42-61%. 2-5mg 2x weekly loading, 2mg maintenance.",subcutaneous,hours
GHK-Cu,Peptide Healing/Skin,7.0,optimizer,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,peptide,,,"Collagen +70%, 4000+ genes modulated. Copper peptide. 1-2mg daily or topical 1-2%.","subcutaneous,topical",
MOTS-c,Peptide Longevity/Metabolic,8.0,specialist,emerging,,,,,3.0,,,,,3.0,,,,,,,,,,,,3.0,3.5,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peptide,,,Exercise mimetic. AMPK activation. +6.4% lifespan mice. Declines with age. 5-10mg weekly.,subcutaneous,
Humanin,Peptide Longevity/Neuro,7.5,specialist,emerging,,,,,2.5,,,,,,,,,,,3.0,,,,,,,3.0,,,,,3.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peptide,,,"Neuroprotective, IGF-1↓. Centenarian children have higher levels. Analog: HNG.",subcutaneous,
